Date,Ticker,Speaker,Speaker_Type,Text,session,Content_Type,Description,Role,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
2013-04-23,AAPL,Tim Cook,executive,"And I would just add to that, because we are not fragmented like our competition, we can update an iOS with a major release and a substantial percentage of our customers will update to the – to our latest offer. We’ve made that very elegant and very easy. Also because the usage for iOS is so much higher, when we integrate things well, people use them a lot more and so just those concepts by itself are huge advantages from a customer experience point of view and from a more of the metrics that you’re thinking about point of view.",question_answer,Unscripted,Chief Executive Officer,executive,99,43.52,94.68,3.5,91.46,16.16,62.63,16.16,10.1,1.01,7.07,1.01,0,1.01,6.06,9.09,14.14,8.08,10.1,11.11,1.01,10.1,5.05,5.05,1.01,0,6.06,4.04,4.04,0,0,0,0,11.11,0,0,0,0,8.08,1.01,4.04,1.01,1.01,0,1.01,3.03,2.02,0,0,0,0,0,0,0,12.12,7.07,2.02,3.03,2.02,0,2.02,7.07,1.01,8.08,0,4.04,4.04,3.03,0,0,2.02,0,0,1.01,0,0,0,1.01,0,9.09,3.03,4.04,0,0,0,0,0,0,2.02,0,0
2012-10-26,AAPL,Tim Cook,executive,"I'm not sure what you're trying to get out there, but I would not say that there has been a significant change in our supplier partners. There is always some change obviously, but I wouldn't describe any change as significant and there hasn't been a change that would have driven more cost, if that’s your specific question.",question_answer,Unscripted,Chief Executive Officer,executive,57,1.69,24.13,72.35,58.97,15.79,61.4,17.54,10.53,5.26,1.75,3.51,0,0,7.02,3.51,7.02,21.05,7.02,8.77,7.02,28.07,5.26,3.51,1.75,0,5.26,1.75,1.75,0,0,0,0,10.53,0,1.75,0,0,36.84,1.75,7.02,7.02,8.77,7.02,10.53,1.75,0,1.75,0,0,0,0,0,0,8.77,3.51,3.51,0,1.75,0,3.51,17.54,0,14.04,8.77,3.51,1.75,0,0,0,1.75,0,0,0,0,0,0,0,0,17.54,3.51,5.26,0,0,0,0,0,0,8.77,0,0
2013-04-23,AAPL,Tim Cook,executive,"It’s a good question. I don’t spend a lot of time looking back except to learn from it, and if we could run it over frankly, I would have announced the iMac after the turn of the year, because we felt our customers had to wait too long for that specific product; or the iPad mini was in shortage in the December quarter I would not have done that differently, because we were able to get the iPad mini out to many millions of customers who really wanted that product for their holiday. And so, yes, we did do a lot, our teams fortunately can do a lot, but in retrospect that one, yeah, I sort of wish it were after the turn of the year, because our customers would not have had to wait as long as they did.",question_answer,Unscripted,Chief Executive Officer,executive,140,56.76,61.26,38.74,52.57,15,65,15.71,9.29,2.86,5,0,0,1.43,6.43,8.57,16.43,14.29,3.57,7.86,2.14,22.14,3.57,2.86,0.71,2.14,2.86,1.43,1.43,0,0,0,0,8.57,0,0,0,0,20,2.14,3.57,5,5,1.43,5.71,1.43,0.71,0,0.71,0,0,0,0,0,8.57,5.71,1.43,0.71,1.43,0,7.14,11.43,0.71,13.57,2.14,5.71,6.43,5,1.43,0,2.86,0,0,1.43,0,0,1.43,0,0,12.14,2.14,7.86,0,0.71,0,0,0,0,1.43,0,0
2020-01-29,AAPL,Tim Cook,executive,"I think, it is possible to have advertising in a straightforward manner that doesn’t encroach on people's privacy. I wouldn’t want to conjecture about us in that business. I think for the TV+ business, we feel strongly that what the customer wants is an add-free product, and so that's not our aversion to ads, it’s what we believe that a customer wants.",question_answer,Unscripted,CEO,executive,63,33.32,62.46,4.97,55.71,25.4,58.73,25.4,11.11,4.76,6.35,0,0,0,14.29,7.94,12.7,11.11,3.17,3.17,4.76,22.22,1.59,0,3.17,0,1.59,4.76,3.17,1.59,1.59,0,0,7.94,0,0,0,0,17.46,6.35,1.59,6.35,1.59,0,1.59,1.59,0,0,1.59,0,0,0,0,0,11.11,6.35,0,1.59,1.59,1.59,0,22.22,3.17,4.76,0,4.76,0,9.52,1.59,0,7.94,0,0,0,0,0,0,0,0,22.22,4.76,6.35,0,0,0,0,1.59,0,7.94,0,1.59
2014-07-23,AAPL,Tim Cook,executive,"We have no plans to change the rules with Enterprise. Some enterprises like proprietary apps that they do not want to offer to others and so we obviously have a way for them to distribute those into their enterprise or just the employees that they want to and so I'm not worried about changing that. We’re also taking friction out of the system and not adding it. Again, the big thing for us is getting the penetration number, I think getting our product, iPhones and iPads and Macs in more people hands and we think there is a huge opportunity in Enterprise to do that.",question_answer,Unscripted,CEO,executive,105,41.91,74.76,21.13,25.77,16.19,62.86,19.05,11.43,1.9,5.71,0,0,3.81,7.62,6.67,15.24,6.67,6.67,9.52,3.81,14.29,2.86,1.9,0,0,2.86,1.9,0.95,0.95,0.95,0,0,11.43,0,0,0,0,13.33,1.9,2.86,1.9,1.9,0.95,4.76,0.95,0,0,0.95,0.95,0.95,0,0,0,15.24,5.71,1.9,3.81,4.76,0,0,11.43,0.95,9.52,1.9,6.67,0.95,1.9,0,0,0,0,0,0.95,0,0.95,0,0,0,8.57,3.81,2.86,0,0,0,0,0,0,1.9,0,0
2011-10-19,AAPL,Tim Cook,executive,"I don't want to get into what we might do, which that answer might do. But let me just go back to -- we see the tablet market as a huge market, and we could not be happier with our position in it. And we've got some fantastic things in the pipeline. And after selling 40 million in the first 18 months, which is more than our wildest dreams were and selling 3 out of every 4, I think we've got a fairly good handle on what to do next.",question_answer,Unscripted,Chief Executive Officer and Director,executive,89,42.5,75,59.69,84.99,8.99,61.8,19.1,11.24,3.37,7.87,0,0,0,7.87,5.62,15.73,14.61,2.25,6.74,2.25,24.72,8.99,6.74,4.49,6.74,3.37,3.37,3.37,0,0,0,0,7.87,0,0,0,0,13.48,2.25,0,2.25,4.49,1.12,3.37,1.12,1.12,0,0,0,0,0,0,0,14.61,7.87,1.12,1.12,4.49,0,5.62,12.36,2.25,15.73,1.12,10.11,5.62,2.25,1.12,0,4.49,0,0,0,0,0,0,0,0,14.61,4.49,4.49,0,0,0,0,2.25,0,3.37,0,0
2020-07-31,AAPL,Tim Cook,executive,"I think, Amit, it's a combination of a strong launch with iPhone SE and some -- probably some pick up because of the economic stimulus that hit different countries at different points in time. And probably some of the reopening that took place across the quarter, particularly in May and June as Store started to reopen. And so it's a combination of all of those. And as you know, we've been having a strong cycle with the iPhone 11 and the 11 Pro. And so when you combine the -- a strong cycle plus and iPhone SE launch, plus the reopening of the stores, et cetera, I think there were a lot of things that we're going in the right direction there.",question_answer,Unscripted,Chief Executive Officer,executive,120,83.17,63.05,54.43,72.57,14.17,57.5,10.83,5,1.67,1.67,1.67,0,0,5.83,12.5,16.67,5.83,6.67,13.33,0,13.33,5.83,3.33,0.83,2.5,4.17,2.5,2.5,0,0,0,0,3.33,0,0,0,0,15.83,2.5,4.17,0,5.83,1.67,1.67,0.83,0,0,0,0,0,0,0,0,7.5,1.67,0,3.33,2.5,0,4.17,5.83,1.67,15.83,2.5,8.33,5,0.83,0,0,2.5,0,0,0,0,0,0,0,0,16.67,4.17,5.83,0,0,0,0,3.33,0,3.33,0,0
2012-10-26,AAPL,Tim Cook,executive,"Scott, it’s Tim. In terms of iPad and iPhone, I don’t see a component shortage getting us for the quarter in the numbers that we’ve given you in the guidance. I think we saw some challenges there and feel good about our position. In terms of general shortages on the iMac, we’ll be constrained for the full quarter in a significant way, part of that is that we’re beginning shipping the 21.5-inch iMac in November and the 27-inch in December. And so there will be a short amount of time during the quarter to manufacturer and ramp those and I expect the demand to be robust. So we will have a significant shortage there. the others are more based on how big is big from a demand point of view and that is very difficult to predict, but you can tell that we’re extremely bullish on the demand with the revenue guidance that Peter talked about earlier. Hopefully that answers your question.",question_answer,Unscripted,Chief Executive Officer,executive,164,73.41,87.66,40.2,48.39,18.9,57.93,14.63,8.54,1.83,4.88,1.83,0,0,6.1,10.37,15.24,9.15,6.71,6.71,0.61,15.24,4.88,1.22,0.61,3.05,2.44,2.44,1.83,0.61,0,0,0,8.54,0,0,0,0,7.32,2.44,1.22,1.22,1.83,0.61,1.22,2.44,1.83,0,0.61,0,0,0,0,0,10.37,4.88,0.61,3.05,1.22,0.61,3.05,10.37,3.66,15.24,0,11.59,3.66,1.22,0,0,0.61,0,0,0,0,0,0,0,0,12.8,4.88,3.05,0,0,0,0,1.22,0,3.66,0,0
2021-10-29,AAPL,Tim Cook,executive,"Katy, the main thing that we’re focused on, on the App Store is to keep our focus on privacy and security. And so, these are the two major tenets that have produced over the years a very trusted environment where consumers and developers come together and consumers can trust the developers on the developers and the apps or what they say they are and the developers get a huge audience to sell their software to. And so, that’s sort of number one on our list. Everything else is a distant second. And so, what we’re doing is working to explain the decisions that we’ve made that are key to keeping the privacy and security there, which is to not have sideloading and not have alternate ways on the iPhone, where it opens up the iPhone to unreviewed apps and also get by the privacy restrictions that we put on the App Store. And so, we’re very, very focused in discussing the privacy and security elements of the App Store with the regulators and legislators.",question_answer,Unscripted,CEO,executive,174,62.04,84.96,15.63,78.43,20.11,59.77,13.22,5.75,0,4.02,0,0,1.72,7.47,11.49,12.07,8.05,6.32,11.49,1.15,16.09,0.57,0,2.87,1.72,0,2.87,2.87,0,0,0,0,9.77,0,0,0,0,5.75,1.15,1.15,0,1.15,0.57,2.3,0.57,0,0.57,0,0,0,0,0,0,11.49,4.6,0.57,2.3,1.15,2.87,1.72,13.79,0,11.49,1.15,9.77,0.57,5.17,0,0,3.45,0,0,2.87,0,2.87,0,0,0,11.49,3.45,5.17,0,0,0,0,0,0,2.87,0,0
2013-10-29,AAPL,Tim Cook,executive,"I think the way – the number one thing to know on the channel inventory is that our range as you know for iPhone is four to six weeks and we were at the low end of our range. And so that to me is the most – that's the most important thing I look at anyway I should say. You can choose to look at the thing that's most important to you. In terms of a changing from where it's been in the past, the things that you should consider are the – China was in wave one this year, so there was a lot more point-of-sales there. We added DOCOMO in Japan. And so that's a large carrier to add. And what probably were not in the opening comments was that of the 14 million, 1.8 million of those were iPhones that were in transit and therefore not available to sale in the channel. And we always count those in channel inventory because they are in our sales line. And so that's how I look at the iPhone inventory.",question_answer,Unscripted,CEO,executive,180,52.71,78.17,50.74,35.47,11.67,65,18.89,8.89,2.78,3.33,2.22,0,0.56,10,9.44,16.11,11.67,6.11,7.78,1.11,15.56,3.33,2.78,1.67,4.44,3.89,1.67,1.11,0.56,0,0,0.56,7.22,0,0,0,0,10.56,2.78,2.22,1.11,2.78,0.56,1.11,2.22,1.67,0.56,0,0,0,0,0,0,6.67,3.33,0,2.22,1.11,0,5.56,11.11,0,15.56,1.67,11.11,2.78,1.67,1.67,0,1.67,0,0,0.56,0,0,0,0,0.56,10.56,5,1.67,0,0,0,0,1.11,0,2.78,0,0
